ResourceID,AdminArea,AdminAreaType,Timestamp,ID
MLO10,Lewisham,Borough,00 00 00 00 00 13 09 64 ,1
MLO10,Richmond upon Thames,Borough,00 00 00 00 00 13 09 65 ,2
MLO100,Kingston upon Thames,Borough,00 00 00 00 00 13 09 66 ,3
MLO100,River Thames,Borough,00 00 00 00 00 13 09 67 ,4
MLO100000,Bromley,Borough,00 00 00 00 00 13 09 68 ,5
MLO100001,Bromley,Borough,00 00 00 00 00 13 20 A2 ,5928
MLO100002,Bromley,Borough,00 00 00 00 00 13 37 DB ,11850
MLO100003,Bromley,Borough,00 00 00 00 00 13 4E E2 ,17722
MLO100004,Bromley,Borough,00 00 00 00 00 13 66 02 ,23618
MLO100005,Bromley,Borough,00 00 00 00 00 13 7D 35 ,29534
MLO100006,Bromley,Borough,00 00 00 00 00 13 94 1E ,35376
MLO100007,Bromley,Borough,00 00 00 00 00 13 AB 35 ,41264
MLO100008,Bromley,Borough,00 00 00 00 00 13 C2 4D ,47153
MLO100009,Bromley,Borough,00 00 00 00 00 13 D9 6D ,53050
MLO100010,Bromley,Borough,00 00 00 00 00 13 09 69 ,6
MLO100011,Bromley,Borough,00 00 00 00 00 13 20 A3 ,5929
MLO100012,Bromley,Borough,00 00 00 00 00 13 37 DC ,11851
MLO100013,Bromley,Borough,00 00 00 00 00 13 4E E3 ,17723
MLO100014,Bromley,Borough,00 00 00 00 00 13 66 03 ,23619
MLO100015,Bromley,Borough,00 00 00 00 00 13 7D 36 ,29535
MLO100016,Bromley,Borough,00 00 00 00 00 13 94 1F ,35377
MLO100017,Bromley,Borough,00 00 00 00 00 13 AB 36 ,41265
MLO100018,Bromley,Borough,00 00 00 00 00 13 C2 4E ,47154
MLO100019,Bromley,Borough,00 00 00 00 00 13 D9 6E ,53051
MLO10002,Hammersmith and Fulham,Borough,00 00 00 00 00 13 37 DD ,11852
MLO10002,River Thames,Borough,00 00 00 00 00 13 37 DE ,11853
MLO100020,Bromley,Borough,00 00 00 00 00 13 09 6A ,7
MLO100021,Bromley,Borough,00 00 00 00 00 13 20 A4 ,5930
MLO100022,Bromley,Borough,00 00 00 00 00 13 37 DF ,11854
MLO100023,Bromley,Borough,00 00 00 00 00 13 4E E4 ,17724
MLO100024,Bromley,Borough,00 00 00 00 00 13 66 04 ,23620
MLO100025,Bromley,Borough,00 00 00 00 00 13 7D 37 ,29536
MLO100026,Lambeth,Borough,00 00 00 00 00 13 94 20 ,35378
MLO100026,River Thames,Borough,00 00 00 00 00 13 94 21 ,35379
MLO100027,Lambeth,Borough,00 00 00 00 00 13 AB 37 ,41266
MLO100028,Lambeth,Borough,00 00 00 00 00 13 C2 4F ,47155
MLO100029,Wandsworth,Borough,00 00 00 00 00 13 D9 6F ,53052
MLO10003,River Thames,Borough,00 00 00 00 00 13 4E E5 ,17725
MLO10003,Wandsworth,Borough,00 00 00 00 00 13 4E E6 ,17726
MLO100030,Lambeth,Borough,00 00 00 00 00 13 09 6B ,8
MLO100031,Lambeth,Borough,00 00 00 00 00 13 20 A5 ,5931
MLO100032,Lambeth,Borough,00 00 00 00 00 13 37 E0 ,11855
MLO100032,River Thames,Borough,00 00 00 00 00 13 37 E1 ,11856
MLO100033,Lambeth,Borough,00 00 00 00 00 13 4E E7 ,17727
MLO100033,River Thames,Borough,00 00 00 00 00 13 4E E8 ,17728
MLO100034,Bromley,Borough,00 00 00 00 00 13 66 05 ,23621
MLO100035,Lambeth,Borough,00 00 00 00 00 13 7D 38 ,29537
MLO100035,River Thames,Borough,00 00 00 00 00 13 7D 39 ,29538
MLO100036,Wandsworth,Borough,00 00 00 00 00 13 94 22 ,35380
MLO100037,Wandsworth,Borough,00 00 00 00 00 13 AB 38 ,41267
MLO100038,Wandsworth,Borough,00 00 00 00 00 13 C2 50 ,47156
MLO100039,Wandsworth,Borough,00 00 00 00 00 13 D9 70 ,53053
